,State,Area,Year,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate
4266,ID,Shoshone County,2014,12380,0.6,-22.0
4267,ID,Shoshone County,2015,12433,0.6,4.8
4268,ID,Shoshone County,2016,12413,0.5,0.0
4269,ID,Shoshone County,2017,12542,0.5,11.4
4270,ID,Teton County,2011,10164,0.9,-12.1
4271,ID,Teton County,2012,10088,0.6,-19.9
4272,ID,Teton County,2013,10350,1.5,12.5
4273,ID,Teton County,2014,10392,1.2,-8.3
4274,ID,Teton County,2015,10671,1.6,14.8
4275,ID,Teton County,2016,11086,1.7,25.2
4276,ID,Teton County,2017,11381,1.7,13.4
4277,ID,Twin Falls County,2011,78041,2.1,-1.7
4278,ID,Twin Falls County,2012,78424,1.8,-3.5
4279,ID,Twin Falls County,2013,79684,1.9,8.1
4280,ID,Twin Falls County,2014,80836,2.6,5.7
4281,ID,Twin Falls County,2015,82059,2.8,6.5
4282,ID,Twin Falls County,2016,83536,2.8,9.7
4283,ID,Twin Falls County,2017,85124,2.7,10.6
4284,ID,Valley County,2011,9635,-0.4,-17.2
4285,ID,Valley County,2012,9538,-0.4,-12.1
4286,ID,Valley County,2013,9577,-0.9,2.0
4287,ID,Valley County,2014,9794,-0.8,18.8
4288,ID,Valley County,2015,10043,-0.8,26.4
4289,ID,Valley County,2016,10417,-0.8,36.0
4290,ID,Valley County,2017,10687,-0.8,24.6
4291,ID,Washington County,2011,10135,-0.4,-3.7
4292,ID,Washington County,2012,10033,-0.1,-7.1
4293,ID,Washington County,2013,9922,-0.2,-9.3
4294,ID,Washington County,2014,9966,-0.1,6.3
4295,ID,Washington County,2015,9909,0.0,-5.6
4296,ID,Washington County,2016,10064,0.2,15.3
4297,ID,Washington County,2017,10121,0.2,3.0
4298,IL,Illinois,2011,12862298,2.1,-5.1
4299,IL,Illinois,2012,12878494,2.1,-5.4
4300,IL,Illinois,2013,12890403,2.1,-5.3
4301,IL,Illinois,2014,12882438,2.4,-7.3
4302,IL,Illinois,2015,12862051,2.7,-8.3
4303,IL,Illinois,2016,12835726,2.7,-8.6
4304,IL,Illinois,2017,12802023,2.6,-9.0
4305,IL,Adams County,2011,67201,0.1,-0.1
4306,IL,Adams County,2012,67139,0.2,-1.2
4307,IL,Adams County,2013,66996,0.4,-2.8
4308,IL,Adams County,2014,67016,0.5,-1.5
4309,IL,Adams County,2015,67014,0.5,-0.4
4310,IL,Adams County,2016,66673,0.5,-5.8
4311,IL,Adams County,2017,66234,0.5,-7.3
4312,IL,Alexander County,2011,7991,-0.1,-26.3
4313,IL,Alexander County,2012,7716,0.0,-38.3
4314,IL,Alexander County,2013,7234,0.0,-66.2
4315,IL,Alexander County,2014,7080,0.0,-21.4
4316,IL,Alexander County,2015,6759,0.0,-46.4
4317,IL,Alexander County,2016,6491,0.0,-42.9
4318,IL,Alexander County,2017,6315,0.0,-26.2
4319,IL,Bond County,2011,17719,0.8,-5.2
4320,IL,Bond County,2012,17532,0.6,-11.8
4321,IL,Bond County,2013,17322,0.5,-12.4
4322,IL,Bond County,2014,17130,0.6,-11.0
4323,IL,Bond County,2015,16929,0.6,-11.0
4324,IL,Bond County,2016,16841,0.6,-3.8
4325,IL,Bond County,2017,16948,0.6,7.0
4326,IL,Boone County,2011,54130,-0.5,-4.0
4327,IL,Boone County,2012,53754,-0.8,-11.0
4328,IL,Boone County,2013,53788,-0.2,-1.5
4329,IL,Boone County,2014,53742,-0.2,-4.1
4330,IL,Boone County,2015,53584,-0.1,-6.8
4331,IL,Boone County,2016,53562,-0.1,-3.5
4332,IL,Boone County,2017,53513,-0.1,-4.8
4333,IL,Brown County,2011,6878,0.1,-4.2
4334,IL,Brown County,2012,6888,0.6,-1.3
4335,IL,Brown County,2013,6861,0.1,-4.8
4336,IL,Brown County,2014,6834,0.3,-1.9
4337,IL,Brown County,2015,6800,0.3,-6.5
4338,IL,Brown County,2016,6744,0.4,-10.2
4339,IL,Brown County,2017,6716,0.4,-3.4
4340,IL,Bureau County,2011,34616,0.2,-8.2
4341,IL,Bureau County,2012,34337,0.4,-7.3
4342,IL,Bureau County,2013,34106,0.5,-6.7
4343,IL,Bureau County,2014,33846,0.4,-6.3
4344,IL,Bureau County,2015,33468,0.4,-11.0
4345,IL,Bureau County,2016,33433,0.4,-1.8
4346,IL,Bureau County,2017,33243,0.4,-5.8
4347,IL,Calhoun County,2011,5048,0.4,-11.6
4348,IL,Calhoun County,2012,4985,0.4,-11.6
4349,IL,Calhoun County,2013,5007,0.4,7.0
4350,IL,Calhoun County,2014,4926,0.4,-18.1
4351,IL,Calhoun County,2015,4862,0.4,-12.9
4352,IL,Calhoun County,2016,4859,0.6,1.4
4353,IL,Calhoun County,2017,4833,0.6,-1.7
4354,IL,Carroll County,2011,15220,0.4,-8.6
4355,IL,Carroll County,2012,15113,0.7,-4.4
4356,IL,Carroll County,2013,14964,0.4,-6.3
4357,IL,Carroll County,2014,14783,0.5,-8.5
4358,IL,Carroll County,2015,14645,0.5,-8.0
4359,IL,Carroll County,2016,14611,0.5,-0.8
4360,IL,Carroll County,2017,14518,0.5,-4.6
4361,IL,Cass County,2011,13621,1.8,-6.0
4362,IL,Cass County,2012,13424,3.1,-20.8
4363,IL,Cass County,2013,13290,2.9,-15.2
4364,IL,Cass County,2014,13078,3.4,-20.9
4365,IL,Cass County,2015,12845,3.9,-23.9
4366,IL,Cass County,2016,12681,4.4,-18.5
4367,IL,Cass County,2017,12505,4.3,-21.2
4368,IL,Champaign County,2011,202835,8.6,-7.7
4369,IL,Champaign County,2012,204099,8.0,-8.1
4370,IL,Champaign County,2013,205629,8.1,-6.0
4371,IL,Champaign County,2014,207081,8.9,-7.8
4372,IL,Champaign County,2015,208354,9.4,-8.9
4373,IL,Champaign County,2016,209267,9.5,-10.2
4374,IL,Champaign County,2017,209399,9.4,-13.8
4375,IL,Christian County,2011,34703,0.5,-0.5
4376,IL,Christian County,2012,34517,0.3,-4.7
4377,IL,Christian County,2013,34151,0.0,-9.1
4378,IL,Christian County,2014,33816,0.0,-7.7
4379,IL,Christian County,2015,33470,0.0,-7.8
4380,IL,Christian County,2016,33271,0.0,-4.6
4381,IL,Christian County,2017,33102,0.0,-4.2
4382,IL,Clark County,2011,16200,-0.1,-5.1
4383,IL,Clark County,2012,16258,-0.4,3.9
4384,IL,Clark County,2013,16095,-0.2,-8.4
4385,IL,Clark County,2014,16045,-0.1,-2.4
4386,IL,Clark County,2015,15865,-0.1,-9.8
4387,IL,Clark County,2016,15848,-0.1,0.9
4388,IL,Clark County,2017,15767,-0.1,-3.0
4389,IL,Clay County,2011,13720,0.9,-6.0
4390,IL,Clay County,2012,13710,0.1,-2.8
4391,IL,Clay County,2013,13551,-0.2,-9.5
4392,IL,Clay County,2014,13441,-0.1,-6.8
4393,IL,Clay County,2015,13395,-0.1,-3.4
4394,IL,Clay County,2016,13311,0.0,-4.5
4395,IL,Clay County,2017,13269,0.0,-1.7
4396,IL,Clinton County,2011,38021,0.0,2.1
4397,IL,Clinton County,2012,37911,0.0,-5.4
4398,IL,Clinton County,2013,37727,0.0,-6.6
4399,IL,Clinton County,2014,37640,0.0,-3.9
4400,IL,Clinton County,2015,37654,0.0,-1.2
4401,IL,Clinton County,2016,37565,-0.1,-4.5
4402,IL,Clinton County,2017,37614,0.0,-0.5
4403,IL,Coles County,2011,53604,0.4,-5.1
4404,IL,Coles County,2012,53299,0.4,-6.6
4405,IL,Coles County,2013,53029,0.9,-5.6
4406,IL,Coles County,2014,52712,1.1,-7.3
4407,IL,Coles County,2015,52570,1.2,-3.7
4408,IL,Coles County,2016,52412,1.1,-5.1
4409,IL,Coles County,2017,51979,1.1,-10.1
4410,IL,Cook County,2011,5217049,3.2,-6.1
4411,IL,Cook County,2012,5237174,3.0,-5.2
4412,IL,Cook County,2013,5250498,3.1,-6.1
4413,IL,Cook County,2014,5253756,3.5,-8.6
4414,IL,Cook County,2015,5245831,3.9,-10.9
4415,IL,Cook County,2016,5231356,3.9,-11.8
4416,IL,Cook County,2017,5211263,3.9,-12.6
4417,IL,Crawford County,2011,19770,0.4,-0.8
4418,IL,Crawford County,2012,19582,0.2,-10.6
4419,IL,Crawford County,2013,19429,0.2,-6.3
4420,IL,Crawford County,2014,19281,0.3,-6.5
4421,IL,Crawford County,2015,19257,0.3,0.7
4422,IL,Crawford County,2016,19142,0.2,-5.2
4423,IL,Crawford County,2017,18961,0.2,-7.7
4424,IL,Cumberland County,2011,11078,0.9,1.7
4425,IL,Cumberland County,2012,10945,1.1,-14.0
4426,IL,Cumberland County,2013,10898,0.6,-5.3
4427,IL,Cumberland County,2014,10926,1.0,-1.7
4428,IL,Cumberland County,2015,10872,1.0,-5.1
4429,IL,Cumberland County,2016,10892,1.0,-0.6
4430,IL,Cumberland County,2017,10908,1.0,-1.7
4431,IL,DeKalb County,2011,104410,1.2,-14.2
4432,IL,DeKalb County,2012,104312,1.9,-7.9
4433,IL,DeKalb County,2013,104129,1.8,-8.2
4434,IL,DeKalb County,2014,104648,1.9,-1.6
4435,IL,DeKalb County,2015,104407,2.0,-9.2
4436,IL,DeKalb County,2016,104447,2.1,-6.6
4437,IL,DeKalb County,2017,104733,2.1,-3.9
4438,IL,De Witt County,2011,16549,-0.1,-2.4
4439,IL,De Witt County,2012,16493,0.0,-5.5
4440,IL,De Witt County,2013,16376,0.1,-7.0
4441,IL,De Witt County,2014,16218,0.1,-8.8
4442,IL,De Witt County,2015,16187,0.2,-0.6
4443,IL,De Witt County,2016,16159,0.1,-2.0
4444,IL,De Witt County,2017,15942,0.1,-12.6
4445,IL,Douglas County,2011,19869,1.3,-10.7
4446,IL,Douglas County,2012,19890,1.1,-2.7
4447,IL,Douglas County,2013,19862,0.3,-5.2
4448,IL,Douglas County,2014,19917,0.4,0.8
4449,IL,Douglas County,2015,19852,0.5,-6.5
4450,IL,Douglas County,2016,19769,0.4,-9.9
4451,IL,Douglas County,2017,19748,0.4,-7.4
4452,IL,DuPage County,2011,924421,2.9,-1.2
4453,IL,DuPage County,2012,928274,2.9,-4.0
4454,IL,DuPage County,2013,931775,2.6,-3.7
4455,IL,DuPage County,2014,932958,3.0,-6.9
4456,IL,DuPage County,2015,933115,3.3,-8.3
4457,IL,DuPage County,2016,931153,3.3,-10.2
4458,IL,DuPage County,2017,930128,3.3,-9.0
4459,IL,Edgar County,2011,18386,-0.3,-4.1
4460,IL,Edgar County,2012,18152,-0.2,-10.9
4461,IL,Edgar County,2013,17899,-0.3,-10.4
4462,IL,Edgar County,2014,17764,-0.1,-3.8
4463,IL,Edgar County,2015,17554,-0.1,-7.9
4464,IL,Edgar County,2016,17472,-0.1,-0.9
4465,IL,Edgar County,2017,17328,-0.1,-4.7
4466,IL,Edwards County,2011,6667,0.0,-11.8
4467,IL,Edwards County,2012,6720,0.1,7.2
4468,IL,Edwards County,2013,6686,0.0,-4.2
4469,IL,Edwards County,2014,6627,0.0,-10.2
4470,IL,Edwards County,2015,6508,0.0,-16.9
4471,IL,Edwards County,2016,6545,0.0,1.8
4472,IL,Edwards County,2017,6486,0.0,-10.9
4473,IL,Effingham County,2011,34258,0.3,-1.6
4474,IL,Effingham County,2012,34263,0.1,-2.8
4475,IL,Effingham County,2013,34205,0.5,-3.9
4476,IL,Effingham County,2014,34107,0.6,-6.4
4477,IL,Effingham County,2015,34196,0.7,0.1
4478,IL,Effingham County,2016,34182,0.7,-4.2
4479,IL,Effingham County,2017,34132,0.7,-5.9
4480,IL,Fayette County,2011,22371,0.9,7.1
4481,IL,Fayette County,2012,22148,0.7,-11.3
4482,IL,Fayette County,2013,22190,0.0,0.9
4483,IL,Fayette County,2014,22063,0.0,-7.6
4484,IL,Fayette County,2015,22049,0.0,-1.4
4485,IL,Fayette County,2016,21816,0.0,-10.9
4486,IL,Fayette County,2017,21784,0.0,-2.9
4487,IL,Ford County,2011,13877,0.0,-8.3
4488,IL,Ford County,2012,13877,0.1,2.7
4489,IL,Ford County,2013,13671,0.0,-10.6
4490,IL,Ford County,2014,13536,-0.1,-6.2
4491,IL,Ford County,2015,13522,-0.1,3.6
4492,IL,Ford County,2016,13342,-0.1,-9.9
4493,IL,Ford County,2017,13280,-0.1,0.0
4494,IL,Franklin County,2011,40018,0.3,1.9
4495,IL,Franklin County,2012,39851,0.3,-2.4
4496,IL,Franklin County,2013,39538,0.4,-5.6
4497,IL,Franklin County,2014,39442,0.5,-2.2
4498,IL,Franklin County,2015,39397,0.5,0.1
4499,IL,Franklin County,2016,39092,0.5,-6.8
4500,IL,Franklin County,2017,39041,0.5,-0.6
4501,IL,Fulton County,2011,36906,0.0,-2.0
4502,IL,Fulton County,2012,36586,-0.1,-5.7
4503,IL,Fulton County,2013,36325,0.1,-5.3
4504,IL,Fulton County,2014,35992,0.2,-5.5
4505,IL,Fulton County,2015,35721,0.3,-4.7
4506,IL,Fulton County,2016,35517,0.4,-2.6
4507,IL,Fulton County,2017,35110,0.4,-8.0
4508,IL,Gallatin County,2011,5490,0.0,-9.8
4509,IL,Gallatin County,2012,5391,0.0,-14.5
4510,IL,Gallatin County,2013,5387,0.0,3.7
4511,IL,Gallatin County,2014,5279,0.0,-15.0
4512,IL,Gallatin County,2015,5221,0.0,-7.0
4513,IL,Gallatin County,2016,5163,0.0,-10.6
4514,IL,Gallatin County,2017,5080,0.0,-12.1
4515,IL,Greene County,2011,13854,0.4,-4.2
4516,IL,Greene County,2012,13655,0.4,-14.5
4517,IL,Greene County,2013,13521,0.0,-10.7
4518,IL,Greene County,2014,13407,0.0,-8.0
4519,IL,Greene County,2015,13336,0.0,-2.3
4520,IL,Greene County,2016,13119,0.0,-13.2
4521,IL,Greene County,2017,13174,0.0,7.2
4522,IL,Grundy County,2011,50088,0.0,-6.4
4523,IL,Grundy County,2012,50156,-0.1,-3.5
4524,IL,Grundy County,2013,50184,0.0,-4.3
4525,IL,Grundy County,2014,50279,-0.1,-2.2
4526,IL,Grundy County,2015,50345,0.0,-2.7
4527,IL,Grundy County,2016,50269,0.0,-5.5
4528,IL,Grundy County,2017,50586,0.0,2.3
4529,IL,Hamilton County,2011,8423,0.0,0.0
4530,IL,Hamilton County,2012,8387,0.1,-2.3
4531,IL,Hamilton County,2013,8346,0.0,-0.8
4532,IL,Hamilton County,2014,8312,0.0,0.6
4533,IL,Hamilton County,2015,8246,0.0,-6.8
4534,IL,Hamilton County,2016,8199,0.0,-6.2
4535,IL,Hamilton County,2017,8194,0.0,0.6
4536,IL,Hancock County,2011,18996,0.1,-5.9
4537,IL,Hancock County,2012,18826,0.1,-8.0
4538,IL,Hancock County,2013,18542,0.3,-14.4
4539,IL,Hancock County,2014,18324,0.3,-11.5
4540,IL,Hancock County,2015,18217,0.3,-7.2
4541,IL,Hancock County,2016,18219,0.3,-0.3
4542,IL,Hancock County,2017,18020,0.3,-11.3
4543,IL,Hardin County,2011,4290,0.0,-1.6
4544,IL,Hardin County,2012,4277,0.0,-0.2
4545,IL,Hardin County,2013,4267,0.0,6.1
4546,IL,Hardin County,2014,4238,0.0,1.4
4547,IL,Hardin County,2015,4156,0.0,-9.1
4548,IL,Hardin County,2016,4099,0.0,-11.1
4549,IL,Hardin County,2017,4046,0.0,-6.4
4550,IL,Henderson County,2011,7215,-0.8,-13.1
4551,IL,Henderson County,2012,7042,-0.3,-20.9
4552,IL,Henderson County,2013,6963,0.3,-7.1
4553,IL,Henderson County,2014,7010,0.0,6.2
4554,IL,Henderson County,2015,6994,0.0,0.4
4555,IL,Henderson County,2016,6874,-0.1,-13.4
4556,IL,Henderson County,2017,6795,-0.1,-6.7
4557,IL,Henry County,2011,50281,0.0,-4.1
4558,IL,Henry County,2012,50251,-0.1,-0.5
4559,IL,Henry County,2013,49921,0.2,-7.6
4560,IL,Henry County,2014,49829,0.2,-2.1
4561,IL,Henry County,2015,49645,0.2,-4.2
4562,IL,Henry County,2016,49524,0.2,-3.2
4563,IL,Henry County,2017,49328,0.2,-4.7
4564,IL,Iroquois County,2011,29495,0.3,-4.8
4565,IL,Iroquois County,2012,29264,0.4,-5.9
4566,IL,Iroquois County,2013,28936,0.4,-8.4
4567,IL,Iroquois County,2014,28723,0.6,-6.8
4568,IL,Iroquois County,2015,28534,0.6,-3.5
4569,IL,Iroquois County,2016,28214,0.6,-9.7
4570,IL,Iroquois County,2017,27876,0.6,-11.1
4571,IL,Jackson County,2011,60330,3.3,-7.2
4572,IL,Jackson County,2012,58993,3.7,-30.3
4573,IL,Jackson County,2013,59643,3.4,4.4
4574,IL,Jackson County,2014,59326,4.1,-13.5
4575,IL,Jackson County,2015,59289,4.3,-9.4
4576,IL,Jackson County,2016,59032,4.3,-13.5
4577,IL,Jackson County,2017,58284,4.2,-21.4
4578,IL,Jasper County,2011,9749,0.1,1.1
4579,IL,Jasper County,2012,9664,0.5,-8.9
4580,IL,Jasper County,2013,9602,1.2,-7.2
4581,IL,Jasper County,2014,9629,1.2,0.8
4582,IL,Jasper County,2015,9633,1.6,-4.2
4583,IL,Jasper County,2016,9593,1.6,-6.8
4584,IL,Jasper County,2017,9578,1.6,-5.6
4585,IL,Jefferson County,2011,38742,0.7,-1.1
4586,IL,Jefferson County,2012,38650,0.7,-4.1
4587,IL,Jefferson County,2013,38629,1.1,-1.9
4588,IL,Jefferson County,2014,38376,1.1,-8.4
4589,IL,Jefferson County,2015,38300,1.3,-5.4
4590,IL,Jefferson County,2016,38308,1.3,-2.5
4591,IL,Jefferson County,2017,38179,1.3,-6.0
4592,IL,Jersey County,2011,22842,0.3,-4.4
4593,IL,Jersey County,2012,22670,0.8,-7.3
4594,IL,Jersey County,2013,22556,0.9,-3.5
4595,IL,Jersey County,2014,22442,0.7,-4.8
4596,IL,Jersey County,2015,22193,0.8,-8.8
4597,IL,Jersey County,2016,21945,0.9,-11.6
4598,IL,Jersey County,2017,21941,0.8,-0.2
4599,IL,Jo Daviess County,2011,22628,0.7,1.4
4600,IL,Jo Daviess County,2012,22533,0.3,-3.9
4601,IL,Jo Daviess County,2013,22386,0.3,-4.5
4602,IL,Jo Daviess County,2014,22326,0.3,1.1
4603,IL,Jo Daviess County,2015,22064,0.4,-9.2
4604,IL,Jo Daviess County,2016,21861,0.5,-8.1
4605,IL,Jo Daviess County,2017,21594,0.6,-9.7
4606,IL,Johnson County,2011,12855,-0.1,18.4
4607,IL,Johnson County,2012,12860,0.1,1.2
4608,IL,Johnson County,2013,12869,-0.1,1.6
4609,IL,Johnson County,2014,12889,-0.1,1.7
4610,IL,Johnson County,2015,12876,-0.1,1.2
4611,IL,Johnson County,2016,12961,-0.1,8.7
4612,IL,Johnson County,2017,12900,0.0,-2.0
4613,IL,Kane County,2011,519119,0.9,-3.5
4614,IL,Kane County,2012,521000,0.9,-5.1
4615,IL,Kane County,2013,523322,1.2,-3.9
4616,IL,Kane County,2014,526475,1.4,-2.5
4617,IL,Kane County,2015,529995,1.7,-1.7
4618,IL,Kane County,2016,532553,1.8,-3.3
4619,IL,Kane County,2017,534667,1.8,-3.8
4620,IL,Kankakee County,2011,113477,0.7,-3.0
4621,IL,Kankakee County,2012,112952,0.8,-8.7
4622,IL,Kankakee County,2013,112207,0.6,-9.7
4623,IL,Kankakee County,2014,111384,0.7,-10.7
4624,IL,Kankakee County,2015,110756,0.8,-8.6
4625,IL,Kankakee County,2016,110053,0.9,-8.6
4626,IL,Kankakee County,2017,109605,0.8,-6.5
4627,IL,Kendall County,2011,116796,0.9,0.9
4628,IL,Kendall County,2012,118247,1.0,1.3
4629,IL,Kendall County,2013,119604,1.1,0.5
4630,IL,Kendall County,2014,121377,1.1,4.3
4631,IL,Kendall County,2015,122892,1.2,2.8
4632,IL,Kendall County,2016,124573,1.3,4.1
4633,IL,Kendall County,2017,126218,1.2,3.6
4634,IL,Knox County,2011,52676,1.0,-1.9
4635,IL,Knox County,2012,52271,1.0,-5.8
4636,IL,Knox County,2013,52084,1.3,-1.5
4637,IL,Knox County,2014,51889,1.6,-3.8
4638,IL,Knox County,2015,51313,1.7,-10.3
4639,IL,Knox County,2016,50945,1.8,-7.2
4640,IL,Knox County,2017,50638,1.8,-7.0
4641,IL,Lake County,2011,701519,1.5,-11.6
4642,IL,Lake County,2012,702159,3.1,-7.8
4643,IL,Lake County,2013,704424,2.5,-4.5
4644,IL,Lake County,2014,704558,2.5,-7.3
4645,IL,Lake County,2015,704945,3.2,-7.6
4646,IL,Lake County,2016,704935,2.8,-7.1
4647,IL,Lake County,2017,703520,2.5,-8.8
4648,IL,LaSalle County,2011,113505,0.5,-2.6
4649,IL,LaSalle County,2012,112907,0.5,-4.4
4650,IL,LaSalle County,2013,112424,0.4,-3.0
4651,IL,LaSalle County,2014,111682,0.6,-6.7
4652,IL,LaSalle County,2015,111077,0.6,-4.9
4653,IL,LaSalle County,2016,110507,0.6,-5.6
4654,IL,LaSalle County,2017,110067,0.6,-4.9
4655,IL,Lawrence County,2011,16898,-0.1,1.2
4656,IL,Lawrence County,2012,16723,-0.1,-7.1
4657,IL,Lawrence County,2013,16725,-0.1,0.9
4658,IL,Lawrence County,2014,16556,-0.1,-10.2
4659,IL,Lawrence County,2015,16495,0.0,-2.2
4660,IL,Lawrence County,2016,16343,0.1,-5.1
4661,IL,Lawrence County,2017,16168,0.1,-6.9
4662,IL,Lee County,2011,35594,0.0,-10.3
4663,IL,Lee County,2012,35202,0.0,-12.5
4664,IL,Lee County,2013,35106,0.0,-2.6
4665,IL,Lee County,2014,34897,0.1,-5.8
4666,IL,Lee County,2015,34544,0.2,-9.1
4667,IL,Lee County,2016,34399,0.2,-3.3
4668,IL,Lee County,2017,34406,0.2,2.0
4669,IL,Livingston County,2011,38799,0.4,-3.3
4670,IL,Livingston County,2012,38508,0.7,-7.7
4671,IL,Livingston County,2013,37389,0.3,-30.0
4672,IL,Livingston County,2014,37012,0.4,-10.1
4673,IL,Livingston County,2015,36668,0.4,-9.2
4674,IL,Livingston County,2016,36475,0.4,-5.8
4675,IL,Livingston County,2017,36518,0.4,-0.2
4676,IL,Logan County,2011,30252,0.4,-1.0
4677,IL,Logan County,2012,30333,0.5,3.2
4678,IL,Logan County,2013,29793,0.2,-17.3
4679,IL,Logan County,2014,29644,0.2,-4.6
4680,IL,Logan County,2015,29412,0.2,-6.7
4681,IL,Logan County,2016,29338,0.2,-2.1
4682,IL,Logan County,2017,29245,0.2,-3.1
4683,IL,McDonough County,2011,32503,0.6,-4.7
4684,IL,McDonough County,2012,32538,1.2,-0.3
4685,IL,McDonough County,2013,32215,2.1,-11.6
4686,IL,McDonough County,2014,31892,2.4,-13.1
4687,IL,McDonough County,2015,31670,2.6,-7.5
4688,IL,McDonough County,2016,31387,2.7,-10.3
4689,IL,McDonough County,2017,30823,2.7,-20.2
4690,IL,McHenry County,2011,308387,0.7,-7.7
4691,IL,McHenry County,2012,308170,0.6,-6.0
4692,IL,McHenry County,2013,307607,0.8,-6.5
4693,IL,McHenry County,2014,307555,1.0,-5.0
4694,IL,McHenry County,2015,307960,1.1,-3.9
4695,IL,McHenry County,2016,307972,1.1,-5.2
4696,IL,McHenry County,2017,309122,1.1,-1.4
4697,IL,McLean County,2011,170776,3.0,-3.4
4698,IL,McLean County,2012,172523,3.1,1.1
4699,IL,McLean County,2013,174734,3.1,3.7
4700,IL,McLean County,2014,173726,3.4,-14.9
4701,IL,McLean County,2015,172718,3.7,-15.0
4702,IL,McLean County,2016,172688,3.8,-9.2
4703,IL,McLean County,2017,172290,3.7,-11.3
4704,IL,Macon County,2011,110649,0.4,-3.5
4705,IL,Macon County,2012,110105,0.6,-6.7
4706,IL,Macon County,2013,109533,0.5,-7.7
4707,IL,Macon County,2014,108529,0.6,-10.7
4708,IL,Macon County,2015,107419,0.6,-11.4
4709,IL,Macon County,2016,106651,0.7,-9.2
4710,IL,Macon County,2017,105801,0.7,-10.2
4711,IL,Macoupin County,2011,47733,0.1,-0.6
4712,IL,Macoupin County,2012,47047,0.0,-12.3
4713,IL,Macoupin County,2013,46670,0.1,-6.0
4714,IL,Macoupin County,2014,46185,0.0,-7.6
4715,IL,Macoupin County,2015,45846,0.1,-5.2
4716,IL,Macoupin County,2016,45653,0.1,-1.8
4717,IL,Macoupin County,2017,45446,0.1,-1.4
4718,IL,Madison County,2011,268595,0.3,-5.3
4719,IL,Madison County,2012,268027,0.4,-4.6
4720,IL,Madison County,2013,267218,0.2,-4.3
4721,IL,Madison County,2014,266526,0.3,-4.1
4722,IL,Madison County,2015,265994,0.4,-3.3
4723,IL,Madison County,2016,265598,0.4,-2.6
4724,IL,Madison County,2017,265428,0.4,-1.8
4725,IL,Marion County,2011,39138,0.0,-5.6
4726,IL,Marion County,2012,39006,0.2,-3.7
4727,IL,Marion County,2013,38671,0.3,-8.4
4728,IL,Marion County,2014,38545,0.4,-3.4
4729,IL,Marion County,2015,38341,0.4,-5.5
4730,IL,Marion County,2016,38066,0.4,-7.9
4731,IL,Marion County,2017,37902,0.4,-6.7
4732,IL,Marshall County,2011,12479,0.0,-8.4
4733,IL,Marshall County,2012,12255,-0.1,-12.7
4734,IL,Marshall County,2013,12122,0.1,-9.5
4735,IL,Marshall County,2014,11959,0.1,-9.5
4736,IL,Marshall County,2015,11918,0.1,-1.9
4737,IL,Marshall County,2016,11898,0.0,-0.8
4738,IL,Marshall County,2017,11730,0.0,-13.9
4739,IL,Mason County,2011,14467,-0.1,-9.1
4740,IL,Mason County,2012,14318,0.1,-6.6
4741,IL,Mason County,2013,14141,0.0,-7.2
4742,IL,Mason County,2014,14100,0.0,-0.6
4743,IL,Mason County,2015,13859,0.0,-13.1
4744,IL,Mason County,2016,13706,0.0,-8.9
4745,IL,Mason County,2017,13715,0.0,2.7
4746,IL,Massac County,2011,15277,0.0,-4.3
4747,IL,Massac County,2012,15061,0.2,-12.3
4748,IL,Massac County,2013,14842,0.1,-9.4
4749,IL,Massac County,2014,14750,0.1,-4.9
4750,IL,Massac County,2015,14565,0.1,-7.8
4751,IL,Massac County,2016,14469,0.1,-4.7
4752,IL,Massac County,2017,14344,0.1,-6.8
4753,IL,Menard County,2011,12696,-0.3,-0.9
4754,IL,Menard County,2012,12690,-0.3,0.1
4755,IL,Menard County,2013,12571,-0.3,-7.0
4756,IL,Menard County,2014,12507,-0.2,-4.7
4757,IL,Menard County,2015,12356,-0.2,-9.6
4758,IL,Menard County,2016,12399,-0.2,3.9
4759,IL,Menard County,2017,12245,-0.2,-9.8
4760,IL,Mercer County,2011,16315,0.2,-5.1
4761,IL,Mercer County,2012,16163,0.2,-8.4
4762,IL,Mercer County,2013,16075,0.2,-3.1
4763,IL,Mercer County,2014,15902,0.3,-9.3
4764,IL,Mercer County,2015,15747,0.3,-7.7
4765,IL,Mercer County,2016,15630,0.3,-5.4
4766,IL,Mercer County,2017,15618,0.3,2.6
4767,IL,Monroe County,2011,33218,-0.2,5.5
4768,IL,Monroe County,2012,33264,-0.3,0.2
4769,IL,Monroe County,2013,33460,-0.2,5.1
4770,IL,Monroe County,2014,33534,-0.2,1.0
4771,IL,Monroe County,2015,33724,-0.2,4.9
4772,IL,Monroe County,2016,33878,-0.1,2.9
4773,IL,Monroe County,2017,34097,-0.1,5.4
4774,IL,Montgomery County,2011,29856,0.0,-5.8
4775,IL,Montgomery County,2012,29611,-0.1,-7.6
4776,IL,Montgomery County,2013,29326,0.0,-8.0
4777,IL,Montgomery County,2014,29442,0.0,6.4
4778,IL,Montgomery County,2015,29230,0.0,-4.5
4779,IL,Montgomery County,2016,29079,0.0,-3.4
4780,IL,Montgomery County,2017,28790,0.0,-7.8
4781,IL,Morgan County,2011,35485,0.6,-0.8
4782,IL,Morgan County,2012,35321,0.7,-4.3
4783,IL,Morgan County,2013,34994,0.8,-9.2
4784,IL,Morgan County,2014,34682,0.8,-9.2
