,State,Area,Year,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate
106,AL,Cleburne County,2012,14889,-0.1,-4.2
107,AL,Cleburne County,2013,14976,-0.3,6.9
108,AL,Cleburne County,2014,15026,-0.3,3.3
109,AL,Cleburne County,2015,14922,-0.3,-2.5
110,AL,Cleburne County,2016,14873,-0.3,-0.8
111,AL,Cleburne County,2017,14900,-0.3,4.6
112,AL,Coffee County,2011,50434,1.6,-0.3
113,AL,Coffee County,2012,51113,3.7,7.0
114,AL,Coffee County,2013,50647,1.9,-13.2
115,AL,Coffee County,2014,50652,1.7,-4.5
116,AL,Coffee County,2015,50974,2.1,2.6
117,AL,Coffee County,2016,51217,1.5,-0.1
118,AL,Coffee County,2017,51874,1.0,9.4
119,AL,Colbert County,2011,54534,0.5,1.0
120,AL,Colbert County,2012,54569,0.2,1.4
121,AL,Colbert County,2013,54528,0.1,1.8
122,AL,Colbert County,2014,54461,0.0,1.2
123,AL,Colbert County,2015,54358,0.0,0.8
124,AL,Colbert County,2016,54327,0.1,1.0
125,AL,Colbert County,2017,54500,0.1,4.4
126,AL,Conecuh County,2011,13187,0.0,-0.8
127,AL,Conecuh County,2012,13041,0.1,-9.6
128,AL,Conecuh County,2013,12908,0.2,-7.2
129,AL,Conecuh County,2014,12677,0.1,-15.2
130,AL,Conecuh County,2015,12678,0.2,1.5
131,AL,Conecuh County,2016,12515,0.2,-11.9
132,AL,Conecuh County,2017,12469,0.2,-2.2
133,AL,Coosa County,2011,11484,0.0,-20.1
134,AL,Coosa County,2012,11347,-0.1,-8.9
135,AL,Coosa County,2013,11253,0.1,-4.2
136,AL,Coosa County,2014,11034,0.3,-18.5
137,AL,Coosa County,2015,10923,0.3,-6.6
138,AL,Coosa County,2016,10809,0.3,-5.9
139,AL,Coosa County,2017,10754,0.3,-2.6
140,AL,Covington County,2011,38017,0.1,6.1
141,AL,Covington County,2012,37803,-0.1,-3.7
142,AL,Covington County,2013,37811,0.0,1.5
143,AL,Covington County,2014,37755,-0.1,0.5
144,AL,Covington County,2015,37550,-0.1,-1.8
145,AL,Covington County,2016,37386,-0.1,-3.2
146,AL,Covington County,2017,37092,-0.1,-6.0
147,AL,Crenshaw County,2011,13898,0.9,0.7
