,State,Year,Min_Wage,CPI
164,Hawaii,2010,7.25,218.0555
165,Idaho,2010,7.25,218.0555
166,Illinois,2010,8.0,218.0555
167,Indiana,2010,7.25,218.0555
168,Iowa,2010,7.25,218.0555
169,Kansas,2010,7.25,218.0555
170,Kentucky,2010,7.25,218.0555
171,Louisiana,2010,7.25,218.0555
172,Maine,2010,7.5,218.0555
173,Maryland,2010,7.25,218.0555
174,Massachusetts,2010,8.0,218.0555
175,Michigan,2010,7.4,218.0555
176,Minnesota,2010,6.15,218.0555
177,Mississippi,2010,7.25,218.0555
178,Missouri,2010,7.25,218.0555
179,Montana,2010,7.25,218.0555
180,Nebraska,2010,7.25,218.0555
181,Nevada,2010,7.55,218.0555
182,New Hampshire,2010,7.25,218.0555
183,New Jersey,2010,7.25,218.0555
184,New Mexico,2010,7.5,218.0555
185,New York,2010,7.25,218.0555
186,North Carolina,2010,7.25,218.0555
187,North Dakota,2010,7.25,218.0555
188,Ohio,2010,7.3,218.0555
189,Oklahoma,2010,7.25,218.0555
190,Oregon,2010,8.4,218.0555
191,Pennsylvania,2010,7.25,218.0555
192,Rhode Island,2010,7.4,218.0555
193,South Carolina,2010,7.25,218.0555
194,South Dakota,2010,7.25,218.0555
195,Tennessee,2010,7.25,218.0555
196,Texas,2010,7.25,218.0555
197,Utah,2010,7.25,218.0555
198,Vermont,2010,8.06,218.0555
199,Virginia,2010,7.25,218.0555
200,Washington,2010,8.55,218.0555
201,West Virginia,2010,7.25,218.0555
202,Wisconsin,2010,7.25,218.0555
203,Wyoming,2010,5.15,218.0555
204,Alabama,2011,7.25,224.9391667
205,Alaska,2011,7.75,224.9391667
206,Arizona,2011,7.35,224.9391667
207,Arkansas,2011,6.25,224.9391667
208,California,2011,8.0,224.9391667
209,Colorado,2011,7.36,224.9391667
210,Connecticut,2011,8.25,224.9391667
211,Delaware,2011,7.25,224.9391667
212,District of Columbia,2011,8.25,224.9391667
213,Florida,2011,7.25,224.9391667
214,Georgia,2011,5.15,224.9391667
215,Hawaii,2011,7.25,224.9391667
216,Idaho,2011,7.25,224.9391667
217,Illinois,2011,8.25,224.9391667
218,Indiana,2011,7.25,224.9391667
219,Iowa,2011,7.25,224.9391667
220,Kansas,2011,7.25,224.9391667
221,Kentucky,2011,7.25,224.9391667
222,Louisiana,2011,7.25,224.9391667
223,Maine,2011,7.5,224.9391667
224,Maryland,2011,7.25,224.9391667
225,Massachusetts,2011,8.0,224.9391667
226,Michigan,2011,7.4,224.9391667
227,Minnesota,2011,6.15,224.9391667
228,Mississippi,2011,7.25,224.9391667
229,Missouri,2011,7.25,224.9391667
230,Montana,2011,7.35,224.9391667
231,Nebraska,2011,7.25,224.9391667
232,Nevada,2011,8.25,224.9391667
233,New Hampshire,2011,7.25,224.9391667
234,New Jersey,2011,7.25,224.9391667
235,New Mexico,2011,7.5,224.9391667
236,New York,2011,7.25,224.9391667
237,North Carolina,2011,7.25,224.9391667
238,North Dakota,2011,7.25,224.9391667
239,Ohio,2011,7.4,224.9391667
240,Oklahoma,2011,7.25,224.9391667
241,Oregon,2011,8.5,224.9391667
242,Pennsylvania,2011,7.25,224.9391667
243,Rhode Island,2011,7.4,224.9391667
244,South Carolina,2011,7.25,224.9391667
245,South Dakota,2011,7.25,224.9391667
246,Tennessee,2011,7.25,224.9391667
247,Texas,2011,7.25,224.9391667
248,Utah,2011,7.25,224.9391667
249,Vermont,2011,8.15,224.9391667
250,Virginia,2011,7.25,224.9391667
251,Washington,2011,8.67,224.9391667
252,West Virginia,2011,7.25,224.9391667
253,Wisconsin,2011,7.25,224.9391667
254,Wyoming,2011,5.15,224.9391667
255,Alabama,2012,7.25,229.5939167
256,Alaska,2012,7.75,229.5939167
257,Arizona,2012,7.65,229.5939167
258,Arkansas,2012,6.25,229.5939167
259,California,2012,8.0,229.5939167
260,Colorado,2012,7.64,229.5939167
261,Connecticut,2012,8.25,229.5939167
262,Delaware,2012,7.25,229.5939167
263,District of Columbia,2012,8.25,229.5939167
