,State,Area,LHS,HS,SC,BD
1164,LA,Jefferson Parish,15.3,31.1,28.7,24.8
1165,LA,Jefferson Davis Parish,21.0,41.3,23.2,14.5
1166,LA,Lafayette Parish,13.6,28.2,27.2,30.9
1167,LA,Lafourche Parish,24.7,39.3,19.9,16.2
1168,LA,La Salle Parish,24.2,42.8,21.9,11.0
1169,LA,Lincoln Parish,12.5,27.5,24.6,35.4
1170,LA,Livingston Parish,16.1,40.2,26.3,17.4
1171,LA,Madison Parish,25.6,40.4,22.1,12.0
1172,LA,Morehouse Parish,19.7,44.2,22.4,13.7
1173,LA,Natchitoches Parish,16.5,32.9,31.8,18.7
1174,LA,Orleans Parish,14.3,22.9,26.6,36.2
1175,LA,Ouachita Parish,15.0,33.5,27.4,24.2
1176,LA,Plaquemines Parish,19.6,38.0,26.6,15.8
1177,LA,Pointe Coupee Parish,20.0,41.2,24.8,13.9
1178,LA,Rapides Parish,15.3,37.5,27.3,19.9
1179,LA,Red River Parish,19.3,45.0,22.2,13.5
1180,LA,Richland Parish,20.5,41.2,24.5,13.7
1181,LA,Sabine Parish,17.5,43.0,25.6,13.9
1182,LA,St. Bernard Parish,18.2,39.5,29.1,13.2
1183,LA,St. Charles Parish,12.8,35.7,30.8,20.7
1184,LA,St. Helena Parish,21.0,45.8,22.6,10.6
1185,LA,St. James Parish,14.5,44.5,26.6,14.4
1186,LA,St. John the Baptist Parish,17.0,36.5,29.6,16.9
1187,LA,St. Landry Parish,23.9,43.5,19.4,13.2
1188,LA,St. Martin Parish,20.9,41.1,24.2,13.8
1189,LA,St. Mary Parish,21.7,47.3,20.0,11.0
1190,LA,St. Tammany Parish,11.2,26.6,30.9,31.3
1191,LA,Tangipahoa Parish,18.6,35.7,25.8,19.8
1192,LA,Tensas Parish,23.3,46.1,21.4,9.1
1193,LA,Terrebonne Parish,22.2,39.8,23.7,14.3
1194,LA,Union Parish,14.8,46.1,27.0,12.1
1195,LA,Vermilion Parish,24.0,41.3,22.4,12.3
1196,LA,Vernon Parish,12.5,37.2,32.6,17.8
1197,LA,Washington Parish,23.5,41.8,22.7,11.9
1198,LA,Webster Parish,19.0,41.0,26.1,13.9
1199,LA,West Baton Rouge Parish,16.2,38.2,25.9,19.7
1200,LA,West Carroll Parish,24.4,42.6,20.6,12.4
1201,LA,West Feliciana Parish,20.7,31.7,25.1,22.5
1202,LA,Winn Parish,20.3,41.6,25.4,12.6
1203,ME,Maine,8.1,33.2,29.4,29.3
1204,ME,Androscoggin County,10.6,37.5,31.3,20.7
1205,ME,Aroostook County,12.6,38.2,31.2,18.1
1206,ME,Cumberland County,5.5,23.7,26.8,44.1
1207,ME,Franklin County,7.6,36.9,29.7,25.8
1208,ME,Hancock County,6.2,33.2,28.1,32.5
1209,ME,Kennebec County,8.6,35.1,31.0,25.3
1210,ME,Knox County,6.9,34.9,27.9,30.2
1211,ME,Lincoln County,6.8,33.0,27.8,32.4
1212,ME,Oxford County,8.5,45.1,28.3,18.2
1213,ME,Penobscot County,8.8,35.5,31.0,24.7
1214,ME,Piscataquis County,10.3,40.9,32.5,16.3
1215,ME,Sagadahoc County,5.5,30.8,30.2,33.5
1216,ME,Somerset County,12.1,41.8,30.3,15.8
1217,ME,Waldo County,8.1,34.1,28.7,29.2
1218,ME,Washington County,12.0,38.5,29.4,20.1
1219,ME,York County,7.6,32.0,30.4,30.1
1220,MD,Maryland,10.4,25.4,25.8,38.4
1221,MD,Allegany County,10.9,41.9,29.2,18.0
1222,MD,Anne Arundel County,8.1,24.5,28.0,39.4
1223,MD,Baltimore County,9.0,27.2,26.6,37.2
1224,MD,Calvert County,6.7,30.9,33.2,29.3
1225,MD,Caroline County,16.7,41.8,26.2,15.3
1226,MD,Carroll County,7.9,30.6,27.8,33.7
1227,MD,Cecil County,11.9,37.5,28.1,22.5
1228,MD,Charles County,7.2,32.3,33.1,27.4
1229,MD,Dorchester County,15.0,38.5,25.7,20.8
1230,MD,Frederick County,7.4,25.2,27.6,39.7
1231,MD,Garrett County,11.5,42.4,26.9,19.2
1232,MD,Harford County,7.2,27.8,30.5,34.5
1233,MD,Howard County,4.7,14.0,20.2,61.0
1234,MD,Kent County,12.7,32.9,23.8,30.5
1235,MD,Montgomery County,8.8,14.0,19.0,58.1
1236,MD,Prince George's County,14.2,25.9,28.5,31.5
1237,MD,Queen Anne's County,8.4,29.8,26.8,35.0
1238,MD,St. Mary's County,10.1,30.2,29.7,29.9
1239,MD,Somerset County,20.8,41.7,23.5,14.0
1240,MD,Talbot County,10.8,26.2,27.1,35.8
1241,MD,Washington County,13.1,38.0,28.8,20.1
1242,MD,Wicomico County,11.4,33.5,27.7,27.4
1243,MD,Worcester County,10.4,32.3,27.4,29.9
1244,MD,Baltimore city,16.5,29.6,24.1,29.7
1245,MA,Massachusetts,9.9,25.1,23.7,41.2
1246,MA,Barnstable County,4.6,25.1,29.2,41.1
1247,MA,Berkshire County,9.4,30.7,27.3,32.6
1248,MA,Bristol County,16.3,30.0,27.2,26.5
1249,MA,Dukes County,7.2,24.6,28.5,39.8
1250,MA,Essex County,10.7,25.7,25.5,38.0
1251,MA,Franklin County,7.2,27.6,29.3,35.9
1252,MA,Hampden County,14.6,30.4,28.8,26.2
1253,MA,Hampshire County,5.7,24.3,25.2,44.7
1254,MA,Middlesex County,7.4,20.6,19.1,53.0
1255,MA,Nantucket County,5.3,25.0,27.6,42.0
1256,MA,Norfolk County,6.1,20.9,21.7,51.2
1257,MA,Plymouth County,7.5,29.0,28.5,35.0
1258,MA,Suffolk County,15.2,23.3,18.7,42.7
1259,MA,Worcester County,10.0,28.9,26.3,34.8
1260,MI,Michigan,10.1,29.6,32.9,27.4
1261,MI,Alcona County,11.4,40.2,33.9,14.5
1262,MI,Alger County,10.6,44.3,27.0,18.1
1263,MI,Allegan County,9.9,37.9,30.8,21.4
1264,MI,Alpena County,9.6,33.6,40.1,16.8
1265,MI,Antrim County,9.3,33.1,30.9,26.7
1266,MI,Arenac County,13.7,43.0,32.0,11.4
1267,MI,Baraga County,16.7,42.3,25.3,15.6
1268,MI,Barry County,8.3,37.4,35.4,18.9
1269,MI,Bay County,10.6,35.8,35.5,18.1
1270,MI,Benzie County,8.5,33.5,32.3,25.6
1271,MI,Berrien County,10.9,29.6,32.7,26.8
1272,MI,Branch County,11.9,40.5,33.9,13.6
1273,MI,Calhoun County,9.4,35.7,34.1,20.8
1274,MI,Cass County,12.2,34.7,35.7,17.4
1275,MI,Charlevoix County,7.3,31.9,32.3,28.5
1276,MI,Cheboygan County,11.2,38.3,32.3,18.3
1277,MI,Chippewa County,10.5,37.8,32.0,19.7
1278,MI,Clare County,15.9,39.2,33.5,11.4
1279,MI,Clinton County,6.3,28.0,35.0,30.7
1280,MI,Crawford County,12.0,35.9,35.4,16.7
1281,MI,Delta County,7.4,33.8,38.2,20.6
1282,MI,Dickinson County,6.4,39.0,31.2,23.4
1283,MI,Eaton County,6.4,29.4,39.0,25.2
1284,MI,Emmet County,6.0,25.8,35.2,32.9
1285,MI,Genesee County,10.4,32.3,37.4,19.9
1286,MI,Gladwin County,14.9,40.6,31.1,13.4
1287,MI,Gogebic County,7.3,38.9,36.3,17.5
1288,MI,Grand Traverse County,5.5,26.2,36.6,31.7
1289,MI,Gratiot County,10.4,41.3,34.0,14.3
1290,MI,Hillsdale County,12.9,38.9,31.5,16.7
1291,MI,Houghton County,8.0,34.4,26.6,31.0
1292,MI,Huron County,11.3,43.2,30.6,14.9
1293,MI,Ingham County,7.7,21.6,33.0,37.7
1294,MI,Ionia County,10.7,39.1,34.7,15.6
1295,MI,Iosco County,11.6,39.6,32.5,16.3
1296,MI,Iron County,8.3,44.7,28.9,18.1
1297,MI,Isabella County,8.5,31.2,32.1,28.2
1298,MI,Jackson County,10.2,33.6,35.6,20.6
1299,MI,Kalamazoo County,6.4,22.9,34.6,36.1
1300,MI,Kalkaska County,13.4,40.3,32.7,13.6
1301,MI,Kent County,10.5,25.0,30.9,33.7
1302,MI,Keweenaw County,5.6,34.3,35.2,24.9
1303,MI,Lake County,17.9,42.6,30.5,9.0
1304,MI,Lapeer County,9.8,36.9,35.6,17.8
1305,MI,Leelanau County,5.2,22.2,31.5,41.1
1306,MI,Lenawee County,9.5,36.9,33.7,19.9
1307,MI,Livingston County,4.9,25.8,35.3,34.0
1308,MI,Luce County,11.2,44.1,30.9,13.8
1309,MI,Mackinac County,10.9,35.3,34.7,19.1
1310,MI,Macomb County,10.8,30.4,34.9,23.8
1311,MI,Manistee County,9.7,36.9,33.5,19.9
1312,MI,Marquette County,5.5,31.7,32.7,30.1
1313,MI,Mason County,8.5,34.1,36.7,20.8
1314,MI,Mecosta County,10.7,35.2,32.9,21.2
1315,MI,Menominee County,8.5,43.1,32.5,15.9
1316,MI,Midland County,5.9,29.6,31.6,32.9
1317,MI,Missaukee County,12.3,41.5,32.8,13.4
1318,MI,Monroe County,9.6,36.1,35.5,18.8
1319,MI,Montcalm County,12.4,38.8,36.2,12.6
1320,MI,Montmorency County,12.9,42.2,33.1,11.8
1321,MI,Muskegon County,10.8,34.8,36.4,18.0
1322,MI,Newaygo County,14.2,40.7,30.8,14.3
1323,MI,Oakland County,6.5,19.5,28.9,45.0
1324,MI,Oceana County,14.3,35.6,33.0,17.1
1325,MI,Ogemaw County,14.8,39.5,34.2,11.4
1326,MI,Ontonagon County,8.3,41.6,32.8,17.4
1327,MI,Osceola County,12.5,44.9,29.5,13.0
1328,MI,Oscoda County,16.9,39.0,33.9,10.2
1329,MI,Otsego County,8.5,37.6,33.4,20.5
1330,MI,Ottawa County,8.3,29.2,31.0,31.6
1331,MI,Presque Isle County,11.5,40.4,31.4,16.7
1332,MI,Roscommon County,11.6,40.0,34.4,13.9
1333,MI,Saginaw County,11.5,34.0,33.8,20.7
1334,MI,St. Clair County,10.5,35.0,37.0,17.6
1335,MI,St. Joseph County,14.0,38.9,31.7,15.3
1336,MI,Sanilac County,12.1,43.3,31.5,13.1
1337,MI,Schoolcraft County,10.8,45.8,27.7,15.7
1338,MI,Shiawassee County,8.5,36.7,39.1,15.8
1339,MI,Tuscola County,10.8,42.3,33.1,13.9
1340,MI,Van Buren County,13.5,33.4,32.7,20.3
1341,MI,Washtenaw County,5.3,15.6,25.9,53.2
1342,MI,Wayne County,14.9,30.2,32.6,22.3
1343,MI,Wexford County,11.4,38.2,33.7,16.7
1344,MN,Minnesota,7.4,25.7,32.7,34.2
1345,MN,Aitkin County,8.7,39.0,36.3,16.0
1346,MN,Anoka County,6.5,28.1,37.1,28.2
1347,MN,Becker County,7.6,32.8,35.9,23.7
1348,MN,Beltrami County,9.8,27.2,36.2,26.8
1349,MN,Benton County,7.7,32.3,37.8,22.2
1350,MN,Big Stone County,10.4,42.7,30.3,16.6
1351,MN,Blue Earth County,5.8,28.5,34.1,31.7
1352,MN,Brown County,8.9,37.8,32.4,20.9
1353,MN,Carlton County,5.8,36.8,35.5,22.0
1354,MN,Carver County,4.3,20.5,29.2,46.0
1355,MN,Cass County,8.7,34.2,36.3,20.9
1356,MN,Chippewa County,9.9,36.1,37.5,16.5
1357,MN,Chisago County,6.2,34.1,37.7,22.0
1358,MN,Clay County,5.6,26.5,34.9,33.0
1359,MN,Clearwater County,13.5,38.0,33.8,14.6
1360,MN,Cook County,4.4,24.3,31.7,39.6
1361,MN,Cottonwood County,10.1,34.7,35.3,19.9
1362,MN,Crow Wing County,6.5,30.4,38.9,24.2
1363,MN,Dakota County,5.3,21.0,32.9,40.7
1364,MN,Dodge County,5.7,34.2,36.2,23.8
1365,MN,Douglas County,5.2,29.8,40.0,25.1
1366,MN,Faribault County,9.8,40.5,32.7,17.0
1367,MN,Fillmore County,9.2,34.3,36.1,20.4
1368,MN,Freeborn County,11.1,36.1,36.1,16.8
1369,MN,Goodhue County,6.7,33.1,35.8,24.3
1370,MN,Grant County,7.2,33.5,39.7,19.6
1371,MN,Hennepin County,7.2,17.5,27.7,47.6
1372,MN,Houston County,6.4,33.8,37.2,22.6
1373,MN,Hubbard County,8.0,31.9,34.7,25.4
1374,MN,Isanti County,8.8,36.8,36.7,17.7
1375,MN,Itasca County,6.7,31.0,40.1,22.3
1376,MN,Jackson County,7.8,33.0,38.0,21.2
1377,MN,Kanabec County,11.5,40.7,34.0,13.8
1378,MN,Kandiyohi County,11.8,26.5,39.2,22.5
1379,MN,Kittson County,8.2,36.2,35.0,20.7
1380,MN,Koochiching County,9.0,37.1,35.6,18.4
1381,MN,Lac qui Parle County,7.1,38.8,35.7,18.3
1382,MN,Lake County,4.6,33.5,34.6,27.2
1383,MN,Lake of the Woods County,10.3,42.0,30.7,17.0
1384,MN,Le Sueur County,9.2,36.0,33.4,21.4
1385,MN,Lincoln County,8.3,40.5,32.3,18.9
1386,MN,Lyon County,7.6,33.5,32.2,26.8
1387,MN,McLeod County,8.9,36.5,37.3,17.3
1388,MN,Mahnomen County,12.9,36.0,38.5,12.6
1389,MN,Marshall County,11.0,36.7,32.4,20.0
1390,MN,Martin County,9.9,38.8,32.9,18.5
1391,MN,Meeker County,8.0,37.3,35.8,18.9
1392,MN,Mille Lacs County,10.1,37.9,36.4,15.6
1393,MN,Morrison County,10.6,37.9,35.3,16.2
1394,MN,Mower County,13.0,31.6,35.3,20.0
1395,MN,Murray County,10.0,37.5,34.7,17.8
1396,MN,Nicollet County,6.4,27.1,34.2,32.3
1397,MN,Nobles County,22.7,33.2,30.5,13.5
1398,MN,Norman County,9.7,40.9,33.7,15.7
1399,MN,Olmsted County,5.7,20.5,31.8,42.0
1400,MN,Otter Tail County,8.3,30.7,37.0,24.1
1401,MN,Pennington County,8.5,36.0,38.1,17.4
1402,MN,Pine County,10.9,41.3,34.0,13.8
1403,MN,Pipestone County,13.8,34.8,31.5,19.9
1404,MN,Polk County,8.9,31.0,36.3,23.9
1405,MN,Pope County,6.5,33.7,37.3,22.5
1406,MN,Ramsey County,9.7,21.9,27.4,41.0
1407,MN,Red Lake County,7.9,40.9,36.1,15.0
1408,MN,Redwood County,11.5,37.6,33.1,17.8
1409,MN,Renville County,11.5,35.9,37.8,14.8
1410,MN,Rice County,9.9,31.2,31.7,27.2
1411,MN,Rock County,9.9,38.0,31.5,20.6
1412,MN,Roseau County,8.8,36.0,36.6,18.7
1413,MN,St. Louis County,6.5,29.2,36.6,27.8
1414,MN,Scott County,5.1,23.0,33.0,38.8
1415,MN,Sherburne County,5.5,27.2,40.6,26.7
1416,MN,Sibley County,10.3,40.2,32.8,16.7
1417,MN,Stearns County,7.9,29.8,36.3,25.9
1418,MN,Steele County,7.6,35.6,32.0,24.8
1419,MN,Stevens County,8.4,26.8,36.7,28.2
1420,MN,Swift County,11.4,35.5,35.8,17.3
1421,MN,Todd County,12.2,36.7,35.7,15.4
1422,MN,Traverse County,9.3,36.0,36.6,18.1
1423,MN,Wabasha County,6.8,37.1,34.8,21.2
1424,MN,Wadena County,10.7,38.2,38.1,13.0
1425,MN,Waseca County,8.0,36.2,35.9,19.9
1426,MN,Washington County,4.0,21.6,32.1,42.3
1427,MN,Watonwan County,15.1,40.7,27.8,16.3
1428,MN,Wilkin County,7.7,29.4,41.6,21.3
1429,MN,Winona County,7.5,29.2,34.1,29.3
1430,MN,Wright County,5.8,28.8,38.7,26.8
1431,MN,Yellow Medicine County,9.4,36.8,37.5,16.2
1432,MS,Mississippi,17.0,30.4,31.5,21.0
1433,MS,Adams County,19.2,34.5,28.2,18.1
1434,MS,Alcorn County,18.6,34.9,29.9,16.6
1435,MS,Amite County,23.4,38.1,26.3,12.2
1436,MS,Attala County,23.1,29.8,32.4,14.8
1437,MS,Benton County,23.8,36.7,28.0,11.4
1438,MS,Bolivar County,25.2,25.2,28.2,21.5
1439,MS,Calhoun County,25.4,34.2,29.4,10.9
1440,MS,Carroll County,19.2,35.9,28.8,16.1
1441,MS,Chickasaw County,27.1,36.9,25.0,11.0
1442,MS,Choctaw County,18.5,36.1,30.0,15.4
1443,MS,Claiborne County,22.4,28.8,29.5,19.2
1444,MS,Clarke County,19.8,35.8,30.3,14.1
1445,MS,Clay County,21.2,32.1,27.8,18.9
1446,MS,Coahoma County,22.5,26.4,33.9,17.2
1447,MS,Copiah County,22.1,31.5,33.5,12.9
1448,MS,Covington County,20.6,38.1,26.9,14.4
1449,MS,DeSoto County,10.8,29.1,36.8,23.2
1450,MS,Forrest County,13.8,28.5,32.0,25.7
1451,MS,Franklin County,15.8,38.0,29.5,16.7
1452,MS,George County,19.7,40.0,27.2,13.1
1453,MS,Greene County,24.8,36.7,30.7,7.8
1454,MS,Grenada County,22.7,29.2,31.3,16.8
1455,MS,Hancock County,15.7,28.4,35.0,20.9
1456,MS,Harrison County,13.6,29.5,35.4,21.5
1457,MS,Hinds County,13.7,25.0,33.2,28.0
1458,MS,Holmes County,25.6,40.6,22.3,11.6
1459,MS,Humphreys County,34.7,27.6,23.8,13.9
1460,MS,Issaquena County,33.5,34.4,23.1,9.0
1461,MS,Itawamba County,24.2,29.9,32.7,13.1
1462,MS,Jackson County,12.3,31.3,36.0,20.5
1463,MS,Jasper County,16.8,37.7,31.9,13.7
1464,MS,Jefferson County,21.5,36.0,24.7,17.8
1465,MS,Jefferson Davis County,20.2,37.9,27.3,14.6
1466,MS,Jones County,19.5,29.3,32.5,18.7
1467,MS,Kemper County,22.2,30.8,35.6,11.4
1468,MS,Lafayette County,10.6,20.9,28.8,39.7
1469,MS,Lamar County,7.9,24.2,31.1,36.8
1470,MS,Lauderdale County,13.8,31.2,35.7,19.2
1471,MS,Lawrence County,20.7,35.9,29.7,13.6
1472,MS,Leake County,23.3,36.9,27.5,12.3
1473,MS,Lee County,16.6,26.8,33.5,23.1
1474,MS,Leflore County,22.5,33.8,24.9,18.8
1475,MS,Lincoln County,14.1,37.5,33.6,14.8
1476,MS,Lowndes County,15.9,30.3,31.5,22.4
1477,MS,Madison County,9.7,16.3,28.3,45.7
1478,MS,Marion County,22.2,37.2,27.8,12.7
1479,MS,Marshall County,21.5,38.7,26.7,13.0
1480,MS,Monroe County,21.4,34.9,28.1,15.6
1481,MS,Montgomery County,25.1,33.6,23.0,18.3
1482,MS,Neshoba County,21.4,33.2,31.0,14.4
1483,MS,Newton County,16.5,29.8,37.9,15.8
1484,MS,Noxubee County,31.0,32.0,22.4,14.5
1485,MS,Oktibbeha County,13.2,20.6,24.2,42.0
1486,MS,Panola County,20.3,36.7,27.4,15.6
1487,MS,Pearl River County,16.4,30.3,39.1,14.2
1488,MS,Perry County,19.3,38.8,33.0,9.0
1489,MS,Pike County,20.7,33.0,30.6,15.7
1490,MS,Pontotoc County,23.3,33.6,28.4,14.7
1491,MS,Prentiss County,23.6,31.8,32.7,12.0
1492,MS,Quitman County,32.4,31.2,23.5,12.9
1493,MS,Rankin County,10.0,27.4,33.0,29.6
1494,MS,Scott County,27.2,34.7,26.3,11.8
1495,MS,Sharkey County,25.3,28.3,27.4,19.0
1496,MS,Simpson County,19.6,37.9,29.7,12.8
1497,MS,Smith County,18.7,43.0,26.4,11.9
1498,MS,Stone County,17.2,35.9,32.9,14.0
1499,MS,Sunflower County,27.5,29.7,28.8,14.1
1500,MS,Tallahatchie County,32.7,33.2,25.1,8.9
1501,MS,Tate County,20.2,28.4,35.3,16.2
1502,MS,Tippah County,22.8,34.0,29.5,13.7
1503,MS,Tishomingo County,21.5,40.0,27.7,10.9
1504,MS,Tunica County,21.9,30.7,28.4,19.0
1505,MS,Union County,23.6,31.7,29.1,15.5
1506,MS,Walthall County,22.7,43.3,24.3,9.7
1507,MS,Warren County,13.3,32.1,30.9,23.6
1508,MS,Washington County,23.1,30.3,28.1,18.5
1509,MS,Wayne County,24.4,37.6,26.4,11.6
1510,MS,Webster County,14.8,35.5,31.2,18.5
1511,MS,Wilkinson County,30.6,39.2,17.2,13.0
1512,MS,Winston County,22.0,33.4,27.4,17.3
1513,MS,Yalobusha County,21.6,37.0,27.8,13.6
1514,MS,Yazoo County,23.4,38.5,25.3,12.9
1515,MO,Missouri,11.2,31.1,30.1,27.6
1516,MO,Adair County,10.1,34.9,24.5,30.5
1517,MO,Andrew County,9.4,38.4,28.2,24.0
1518,MO,Atchison County,10.0,41.2,26.5,22.3
1519,MO,Audrain County,15.5,46.4,25.5,12.6
1520,MO,Barry County,18.0,42.2,27.0,12.8
1521,MO,Barton County,13.6,42.2,29.0,15.2
1522,MO,Bates County,14.7,44.4,27.1,13.8
1523,MO,Benton County,14.8,44.4,30.2,10.6
1524,MO,Bollinger County,21.2,46.0,23.3,9.4
1525,MO,Boone County,6.3,20.4,26.5,46.8
1526,MO,Buchanan County,12.8,36.4,30.3,20.5
1527,MO,Butler County,16.8,36.7,30.9,15.6
1528,MO,Caldwell County,10.0,44.0,28.2,17.9
1529,MO,Callaway County,14.3,37.4,27.8,20.5
1530,MO,Camden County,11.8,36.3,30.6,21.3
1531,MO,Cape Girardeau County,9.8,31.8,28.5,29.9
1532,MO,Carroll County,14.1,45.6,23.0,17.3
1533,MO,Carter County,20.1,33.1,34.6,12.2
1534,MO,Cass County,7.5,34.5,32.7,25.3
1535,MO,Cedar County,15.6,40.7,28.9,14.9
1536,MO,Chariton County,12.3,49.3,22.6,15.8
1537,MO,Christian County,8.9,31.2,33.5,26.5
1538,MO,Clark County,13.5,43.4,30.8,12.3
1539,MO,Clay County,7.3,29.0,31.8,31.9
1540,MO,Clinton County,7.5,38.4,35.5,18.6
1541,MO,Cole County,8.7,31.4,28.1,31.7
1542,MO,Cooper County,11.0,40.1,28.4,20.5
1543,MO,Crawford County,21.7,39.9,25.8,12.5
1544,MO,Dade County,13.5,43.4,28.1,14.9
1545,MO,Dallas County,18.6,42.0,26.2,13.2
1546,MO,Daviess County,15.9,42.1,25.2,16.8
1547,MO,DeKalb County,14.1,47.6,24.8,13.6
1548,MO,Dent County,21.1,39.5,26.9,12.6
1549,MO,Douglas County,19.9,43.6,27.1,9.4
1550,MO,Dunklin County,26.1,37.8,24.7,11.4
1551,MO,Franklin County,12.8,33.7,33.8,19.7
1552,MO,Gasconade County,14.0,42.3,27.3,16.4
1553,MO,Gentry County,10.7,43.5,26.3,19.4
1554,MO,Greene County,8.8,28.4,32.9,29.9
1555,MO,Grundy County,12.9,39.7,28.8,18.7
1556,MO,Harrison County,14.7,48.3,23.1,13.9
1557,MO,Henry County,13.0,42.2,29.3,15.5
1558,MO,Hickory County,18.2,42.6,29.4,9.8
1559,MO,Holt County,9.6,43.9,26.4,20.1
1560,MO,Howard County,11.7,38.0,24.9,25.3
1561,MO,Howell County,15.3,39.3,31.1,14.4
1562,MO,Iron County,19.2,40.7,28.7,11.4
1563,MO,Jackson County,10.2,29.4,31.0,29.4
1564,MO,Jasper County,13.0,35.8,29.2,22.1
1565,MO,Jefferson County,12.5,33.1,36.0,18.4
1566,MO,Johnson County,8.6,31.6,32.0,27.8
1567,MO,Knox County,13.8,43.7,26.9,15.5
1568,MO,Laclede County,18.2,38.9,29.2,13.7
1569,MO,Lafayette County,11.1,42.7,27.9,18.3
1570,MO,Lawrence County,15.9,38.7,29.2,16.2
1571,MO,Lewis County,12.2,47.0,26.9,13.9
1572,MO,Lincoln County,12.8,42.4,29.6,15.2
1573,MO,Linn County,11.8,48.8,24.8,14.6
1574,MO,Livingston County,14.0,41.3,24.9,19.8
1575,MO,McDonald County,21.8,35.5,29.4,13.3
1576,MO,Macon County,12.6,44.4,27.2,15.8
1577,MO,Madison County,20.0,36.6,31.1,12.3
1578,MO,Maries County,17.4,41.9,26.7,14.0
1579,MO,Marion County,12.9,38.4,28.2,20.5
1580,MO,Mercer County,11.2,47.7,24.3,16.9
1581,MO,Miller County,15.1,43.0,26.2,15.7
1582,MO,Mississippi County,27.2,39.1,22.3,11.4
1583,MO,Moniteau County,16.4,43.7,21.6,18.3
1584,MO,Monroe County,10.3,48.0,27.7,14.0
1585,MO,Montgomery County,16.2,42.9,27.4,13.5
1586,MO,Morgan County,22.2,40.9,25.2,11.7
1587,MO,New Madrid County,24.1,41.2,23.6,11.1
1588,MO,Newton County,14.4,34.3,32.9,18.4
1589,MO,Nodaway County,7.4,41.2,26.4,25.0
1590,MO,Oregon County,16.4,41.8,29.2,12.6
1591,MO,Osage County,9.7,45.0,26.3,19.1
1592,MO,Ozark County,16.2,46.5,25.8,11.5
1593,MO,Pemiscot County,25.2,38.0,25.1,11.7
1594,MO,Perry County,12.5,46.1,25.3,16.1
1595,MO,Pettis County,16.9,32.4,33.5,17.2
1596,MO,Phelps County,13.0,33.2,25.9,27.9
1597,MO,Pike County,19.6,44.8,22.2,13.3
1598,MO,Platte County,4.7,22.2,32.4,40.7
1599,MO,Polk County,13.5,37.3,29.7,19.6
1600,MO,Pulaski County,10.1,31.0,35.0,23.9
1601,MO,Putnam County,11.5,40.2,29.9,18.4
1602,MO,Ralls County,12.1,49.4,25.8,12.7
1603,MO,Randolph County,13.6,37.1,35.0,14.4
1604,MO,Ray County,12.0,46.2,27.9,13.9
1605,MO,Reynolds County,24.0,42.1,24.8,9.1
1606,MO,Ripley County,21.8,40.1,26.8,11.3
1607,MO,St. Charles County,5.7,25.6,32.6,36.1
1608,MO,St. Clair County,18.9,43.6,26.0,11.4
1609,MO,Ste. Genevieve County,12.5,42.9,30.6,13.9
1610,MO,St. Francois County,17.8,36.1,32.4,13.8
1611,MO,St. Louis County,7.1,21.5,29.0,42.4
1612,MO,Saline County,15.4,39.0,26.7,18.8
1613,MO,Schuyler County,13.3,41.7,32.4,12.5
1614,MO,Scotland County,17.2,42.0,26.8,14.0
1615,MO,Scott County,17.0,42.2,27.0,13.9
1616,MO,Shannon County,18.3,41.3,25.4,15.0
1617,MO,Shelby County,9.4,47.0,29.6,14.0
1618,MO,Stoddard County,19.6,39.5,27.4,13.6
1619,MO,Stone County,13.3,38.9,31.0,16.9
1620,MO,Sullivan County,16.2,48.5,23.8,11.6
1621,MO,Taney County,11.8,34.6,35.2,18.4
1622,MO,Texas County,17.9,43.4,25.2,13.5
1623,MO,Vernon County,12.6,41.0,30.1,16.2
1624,MO,Warren County,14.2,35.9,31.7,18.2
1625,MO,Washington County,23.0,41.2,27.8,8.0
1626,MO,Wayne County,24.7,37.0,26.4,11.9
1627,MO,Webster County,14.0,38.5,31.3,16.2
1628,MO,Worth County,10.9,44.1,27.7,17.3
1629,MO,Wright County,20.7,43.1,25.1,11.2
1630,MO,St. Louis city,15.5,22.9,28.7,33.0
1631,MT,Montana,7.1,29.8,33.2,29.9
1632,MT,Beaverhead County,6.3,32.1,30.7,30.9
1633,MT,Big Horn County,13.7,34.0,36.6,15.7
1634,MT,Blaine County,10.6,29.2,40.7,19.6
1635,MT,Broadwater County,6.4,37.6,28.7,27.3
1636,MT,Carbon County,6.1,29.6,35.1,29.2
1637,MT,Carter County,8.0,36.0,38.9,17.1
1638,MT,Cascade County,8.3,31.4,34.3,25.9
1639,MT,Chouteau County,7.0,32.8,35.4,24.7
1640,MT,Custer County,8.6,30.5,41.1,19.9
1641,MT,Daniels County,5.2,33.1,38.0,23.7
1642,MT,Dawson County,7.5,35.8,37.8,18.9
1643,MT,Deer Lodge County,10.5,38.3,35.2,15.9
1644,MT,Fallon County,3.8,39.8,41.6,14.8
1645,MT,Fergus County,6.9,33.1,31.4,28.6
1646,MT,Flathead County,5.5,29.3,36.3,28.9
1647,MT,Gallatin County,3.2,19.5,29.3,48.0
1648,MT,Garfield County,6.3,45.1,33.9,14.6
1649,MT,Glacier County,10.2,38.8,32.7,18.3
1650,MT,Golden Valley County,6.6,44.3,25.5,23.6
1651,MT,Granite County,10.5,35.9,28.6,25.0
1652,MT,Hill County,9.5,28.6,38.4,23.5
1653,MT,Jefferson County,5.1,27.6,34.2,33.1
1654,MT,Judith Basin County,5.1,35.0,28.5,31.3
