,State,Area,LHS,HS,SC,BD
785,IN,Putnam County,11.6,41.6,31.8,15.0
786,IN,Randolph County,13.6,43.7,29.7,13.1
787,IN,Ripley County,13.2,43.2,26.1,17.4
788,IN,Rush County,15.4,47.9,22.7,14.0
789,IN,St. Joseph County,12.3,30.9,28.6,28.2
790,IN,Scott County,15.4,42.6,29.0,13.0
791,IN,Shelby County,12.3,43.0,28.1,16.6
792,IN,Spencer County,10.6,44.0,30.1,15.3
793,IN,Starke County,17.1,41.4,29.8,11.6
794,IN,Steuben County,11.5,38.0,30.5,19.9
795,IN,Sullivan County,13.6,42.7,31.0,12.7
796,IN,Switzerland County,17.3,48.3,26.1,8.3
797,IN,Tippecanoe County,9.3,26.6,28.9,35.3
798,IN,Tipton County,11.7,39.4,27.8,21.1
799,IN,Union County,11.8,44.7,25.0,18.6
800,IN,Vanderburgh County,10.2,33.8,31.1,24.9
801,IN,Vermillion County,11.0,45.3,30.7,13.0
802,IN,Vigo County,12.3,33.0,31.5,23.2
803,IN,Wabash County,12.1,42.0,27.6,18.3
804,IN,Warren County,9.0,43.2,28.2,19.6
805,IN,Warrick County,7.2,32.9,31.9,28.0
806,IN,Washington County,14.5,45.6,27.2,12.7
807,IN,Wayne County,15.3,39.2,28.4,17.1
808,IN,Wells County,8.8,40.4,33.4,17.4
809,IN,White County,10.4,43.2,30.7,15.7
810,IN,Whitley County,9.9,41.4,30.5,18.3
811,IA,Iowa,8.3,31.9,32.7,27.2
812,IA,Adair County,6.6,43.2,33.6,16.6
813,IA,Adams County,7.5,40.1,35.7,16.7
814,IA,Allamakee County,11.9,40.4,30.7,17.0
815,IA,Appanoose County,10.1,35.7,36.1,18.1
816,IA,Audubon County,10.4,42.4,34.1,13.1
817,IA,Benton County,7.2,35.7,35.3,21.8
818,IA,Black Hawk County,9.2,32.7,31.1,27.0
819,IA,Boone County,5.6,34.4,37.6,22.4
820,IA,Bremer County,4.7,34.5,33.0,27.9
821,IA,Buchanan County,7.7,40.6,33.7,18.0
822,IA,Buena Vista County,21.8,30.5,29.0,18.7
